dataset,question_id,plan_hash,n_slots,n_edges,n_operator_edges,structural_hops,structural_nodes,topology,eligible,error
hotpotqa,5abb457f554299642a094a80,648ff94385b5aa67,1,0,0,0,1,single,False,
hotpotqa,5a7b6d825542997c3ec9716a,f373c397da454a5d,1,0,0,0,1,single,False,
hotpotqa,5ab2ea7e55429929539468b3,d59141f7ed749cbb,1,0,0,0,1,single,False,
hotpotqa,5ae682345542996d980e7bb5,f9d07619b47885bf,1,0,0,0,1,single,False,
hotpotqa,5a87a10b5542993e715abfcc,a040f1074de98ce8,1,0,0,0,1,single,False,
hotpotqa,5a7781245542995d83181176,fbc68f4c4de433e8,2,1,0,1,2,chain,False,
hotpotqa,5aba637055429955dce3edfe,e6c42810078bad27,1,0,0,0,1,single,False,
hotpotqa,5ae3e66f5542994393b9e7a5,23144172f6ddafa9,1,0,0,0,1,single,False,
hotpotqa,5ae76e4a5542991e8301cc9f,600c577230a1de3c,4,3,0,3,4,chain,True,
hotpotqa,5a7265bf5542997f827839a5,f144c9fee6f8e021,1,0,0,0,1,single,False,
hotpotqa,5abc0dd95542996583600416,e6303c4a58318cbb,1,0,0,0,1,single,False,
hotpotqa,5addbcfd5542995b365fab75,2f42da88ab40c402,1,0,0,0,1,single,False,
hotpotqa,5a85d3b85542997175ce2047,7671505fef8621b0,1,0,0,0,1,single,False,
hotpotqa,5ab8b56555429919ba4e2361,3fe47937f2418d96,1,0,0,0,1,single,False,
hotpotqa,5ab727c25542hotpotqa,5a85faea5542994775f606dc,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completionshotpotqa,5a77a5hotpotqa,5a8d53315542994ba4e3dc72,7ebb0d715a24d279,1,0,0,0,1,hotpotqa,5a7320hotpotqa,5a7f71aa5542992097ad2f6f,18bcd74438f46547,1,0,0,0,1,hotpotqa,5a85374e5542992a431d1aef,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completions: ReadTimeout
hotpotqa,5adfffaa55429906c02daaa0,cf8bad32c1df3726,1,0,0,0,1,single,False,
hotpotqa,5a80abcc554299485f59869f,ed886431485f371a,1,0,0,0,1,single,False,
hotpotqa,5ab4e9fc55429942dd415f9f,737be4b18a37d9f6,1,0,0,0,1,single,False,
hotpotqa,5a861c715542994775f606f9,ab29d763e79a97bb,1,0,0,0,1,single,False,
hotpotqa,5ac1358d5542994ab5c67cbe,875f2edc280a4f02,1,0,0,0,1,single,False,
hotpotqa,5ae775335542997b22f6a77f,d1ce92e1e6615aa9,1,0,0,0,1,single,False,
hotpotqa,5ae515d055429913cc204586,563b1c17f9b39078,2,1,0,1,2,chain,False,
hotpotqa,5ae09f8a55429924de1b7119,b01fb3ef55523540,1,0,0,0,1,single,False,
hotpotqa,5adc888a5542994d58a2f637,e2e778e7b3baf025,2,1,0,1,2,chain,False,
hotpotqa,5ab6d7f35542995eadef00c0,b3cf8940d36c80fb,2,1,0,1,2,chain,False,
hotpotqa,5a83233d55429940e5e1a97c,84dd008ecfb42759,2,1,0,1,2,chain,False,
hotpotqa,5adf938a55429hotpotqa,5a89b43a5542992e4fca838b,,0,0,0,-1,0,compile_hotpotqa,5add4bdb5542992ae4cec506,6173b5cbe558b689,1,0,0,0,1,single,False,
hotpotqa,5a7cb72d554299683c1c634a,6cc24426e3fe4e79,2,1,0,1,2,chain,False,
hotpotqa,5ae8283055429952e35eaa67,3f5110ddb140b9bb,1,0,0,0,1,single,False,
hotpotqa,5ae165c45542997b2ef7d1d2,6ec892283528ed99,1,0,0,0,1,single,False,
hotpotqa,5a74bee355429929fddd84e6,3eda266f93ae85de,1,0,0,0,1,single,False,
hotpotqa,5ae3dcc55542992e3233c482,2d4950252c214a5b,1,0,0,0,1,single,False,
hotpotqa,5ab27686554299722f9b4d3d,4d73b704c5f05301,1,0,0,0,1,single,False,
hotpotqa,5a85d0335542997175ce203b,6d38335e184ffaf8,1,0,0,0,1,single,False,
hotpotqa,5a7f28cf55429934daa2fd0b,56c2f8daeda84c3a,1,0,0,0,1,single,False,
hotpotqa,5a8ce0d5554299441c6b9f4c,70d13bc61f37b794,1,0,0,0,1,single,False,
hotpotqa,5a86f353554299211dda2b65,fd72fc45252308fc,1,0,0,0,1,single,False,
hotpotqa,5abef2d95542993fe9a41db3,512279a244f11dd3,1,0,0,0,1,single,False,
hotpotqa,5aba72e555429901930fa7d0,41840b4aacd78bcf,1,0,0,0,1,single,False,
hotpotqa,5a7cfd8b554299452d57babb,1a34e3b0d1bbd903,1,0,0,0,1,single,False,
hotpotqa,5ae1586c55429901ffe4ae75,288df5e62a1aa979,1,0,0,0,1,single,False,
hotpotqa,5a7b1ce4554299042af8f6db,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completions: ReadTimeout
hotpotqa,5a78cea8554299029c4b5ea3,45668e22735e9af9,1,0,0,0,1,single,False,
hotpotqa,5ae625f85542992ae0d1624e,bafa4568c6f9d9e7,1,0,0,0,1,single,False,
hotpotqa,5ab21c9b554299722f9b4cb7,2160e9a7d2960976,1,0,0,0,1,single,False,
hotpotqa,5a81a9c15542990a1d231e56,1d88e5275dbd22a8,1,0,0,0,1,single,False,
hotpotqa,5a8e1df055429917b4a5bd26,7fbd32c043d8d28d,1,0,0,0,1,single,False,
hotpotqa,5ae3bdd85542990afbd1e1bf,05100c76c066328c,1,0,0,0,1,single,False,
hotpotqa,5ab33de855429969a97a810a,c002edf0bbb6049b,2,1,0,1,2,chain,False,
hotpotqa,5a8a49d955429930ff3c0d72,526a03f616612d4f,1,0,0,0,1,single,False,
hotpotqa,5a8f938a55429918e830d275,a48d652e2d5414d1,1,0,0,0,1,single,False,
hotpotqa,5a855bdd5542991dd0999e55,9a8ab6b007e794f8,1,0,0,0,1,single,False,
hotpotqa,5ac3df8a5542995c82c4ac70,22ea9e707a1099d4,1,0,0,0,1,single,False,
hotpotqa,5a75e6bb55429976ec32bc8d,0b6ac325c5e16ccf,1,0,0,0,1,single,False,
hotpotqa,5a7cb5ac55429907fabef009,df09b16b3c28140a,1,0,0,0,1,single,False,
hotpotqa,5abd0d1255429924427fcede,f2a974968d71a019,3,2,0,2,3,chain,True,
hotpotqa,5abaf11f5542996cc5e49f23,5fcc2e45fd6b50c6,2,1,0,1,2,chain,False,
hotpotqa,5a7f041c55429934daa2fc93,0e1c4e958b8fd682,4,4,0,3,4,complex,True,
hotpotqa,5a774d025542993569682d43,922fd3cfc53e53f6,1,0,0,0,1,single,False,
hotpotqa,5a7661525542992db947377e,90e9aaca1d39ac1b,1,0,0,0,1,single,False,
hotpotqa,5addba585542995b365fab71,748e2f936c6591f7,1,0,0,0,1,single,False,
hotpotqa,5a8def9255429917b4a5bce5,9b8cdca4058e7913,1,0,0,0,1,single,False,
hotpotqa,5a7761805542993569682d76,01cb8d4507a548f9,3,3,0,2,3,complex,True,
hotpotqa,5a863834554299211dda2ab2,71d018d6cc773128,1,0,0,0,1,single,False,
hotpotqa,5ab73f68554299110f219adc,8ce0ab3512503548,1,0,0,0,1,single,False,
hotpotqa,5a8232d255429903bc27ba40,12cf83383b7ea9fe,1,0,0,0,1,single,False,
hotpotqa,5ae2ac445542996483e64a37,8243e46847af896f,1,0,0,0,1,single,False,
hotpotqa,5a7d75535542990b8f503999,e1871740bcd517c6,1,0,0,0,1,single,False,
hotpotqa,5a8fc09b5542997ba9cb331b,e50027bf68d350e8,1,0,0,0,1,single,False,
hotpotqa,5a7722a355429972597f1444,63adf987a148f59c,1,0,0,0,1,single,False,
hotpotqa,5a7cb2c055429935c91b52b1,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completions: ReadTimeout
hotpotqa,5ae72670554299572ea54737,b26d1618839b1e2c,1,0,0,0,1,single,False,
hotpotqa,5a77829b5542997042120a8f,2d8c3a6bb0246f9d,1,0,0,0,1,single,False,
hotpotqa,5a80bbc15542992bc0c4a7fe,d32b31c66006c290,2,1,0,1,2,chain,False,
hotpotqa,5ac2476755429951e9e68520,20cb1863db3c47e0,1,0,0,0,1,single,False,
hotpotqa,5ab2ed7a55429929539468c6,273ae57dcccaf5ba,1,0,0,0,1,single,False,
hotpotqa,5ae17a2955429901ffe4ae97,385c76d642ff7b59,1,0,0,0,1,single,False,
hotpotqa,5ab579615542997d4ad1f149,06333318f266d74b,1,0,0,0,1,single,False,
hotpotqa,5ae17fae55429901ffe4aebf,84582f87871a72ee,1,0,0,0,1,single,False,
hotpotqa,5adcd8165542992c1e3a242c,fa032b1a63aec329,1,0,0,0,1,single,False,
hotpotqa,5ab417995542996a3a969f2c,403e6ce5057b6070,1,0,0,0,1,single,False,
hotpotqa,5ac4937b5542997ea680ca88,c8bae337ad8f9af1,1,0,0,0,1,single,False,
hotpotqa,5a7a97e055429941d65f26de,cffc5021ccfb7f90,1,0,0,0,1,single,False,
hotpotqa,5ab818885542990e739ec81b,e3bbc298523e2a50,2,1,0,1,2,chain,False,
hotpotqa,5ab6b9285542995eadef0079,1b7c6395e9b63df7,2,1,0,1,2,chain,False,
hotpotqa,5a8089e85542996402f6a548,eb6996d909e07249,1,0,0,0,1,single,False,
hotpotqa,5adc688b5542996e68525355,a4cc96d1e6f8f596,1,0,0,0,1,single,False,
hotpotqa,5adc370d5542996e685252e2,744ed778899b28c9,1,0,0,0,1,single,False,
hotpotqa,5ab812ca5542995dae37ea25,346afda5277b3f24,1,0,0,0,1,single,False,
2wikimultihop,d517d2ff08a111ebbd7aac1f6bf848b6,24d63cd42764a332,3,3,0,2,3,complex,True,
2wikimultihop,b7a7c7fb097b11ebbdb0ac1f6bf848b6,1f8746fb7c2def91,1,0,0,0,1,single,False,
2wikimultihop,5431cfdc0bda11eba7f7acde48001122,dee1823442851233,1,0,0,0,1,single,False,
2wikimultihop,1fd521da093211ebbdaeac1f6bf848b6,ea2466850844daf8,2,1,0,1,2,chain,False,
2wikimultihop,d3fdc35e086211ebbd5dac1f6bf848b6,a9eaea38b1065b82,1,0,0,0,1,single,False,
2wikimultihop,15153f68088911ebbd6eac1f6bf848b6,8af54268e02bc3f3,1,0,0,0,1,single,False,
2wikimultihop,5be446120bdd11eba7f7acde48001122,007c5252ddc1e6af,1,0,0,0,1,single,False,
2wikimultihop,b048cb120bdb11eba7f7acde48001122,62ded509cab8b6ea,1,0,0,0,1,single,False,
2wikimultihop,f23af24a0bd911eba7f7acde48001122,377d016cd2a8a9ac,1,0,0,0,1,single,False,
2wikimultihop,2fd910fb089711ebbd76ac1f6bf848b6,7ae504bcdd15a8ee,1,0,0,0,1,single,False,
2wikimultihop,921afb080bd911eba7f7acde48001122,a5a939c54a03bc90,1,0,0,0,1,single,False,
2wikimultihop,6368d4c00bdd11eba7f7acde48001122,0454c6112ce1b8fe,1,0,0,0,1,single,False,
2wikimultihop,7e0b00d40bdb11eba7f7acde48001122,c3defc1658ca95b8,1,0,0,0,1,single,False,
2wikimultihop,97dd3524086411ebbd5eac1f6bf848b6,2d7131cfc99a855a,1,0,0,0,1,single,False,
2wikimultihop,619fe7ec0bdc11eba7f7acde48001122,98af3184868a8f6f,1,0,0,0,1,single,False,
2wikimultihop,7d40a4280baf11ebab90acde48001122,aa4aedd604a587f5,1,0,0,0,1,single,False,
2wikimultihop,8100a5ba0bda11eba7f7acde48001122,798188a8f799700e,1,0,0,0,1,single,False,
2wikimultihop,8b2cf18e0bd911eba7f7acde48001122,81a1fbe1d9f0aa26,1,0,0,0,1,single,False,
2wikimultihop,52ee417c0bdb11eba7f7acde48001122,1d345e8554c81d3c,1,0,0,0,1,single,False,
2wikimultihop,321b6ff9085a11ebbd5cac1f6bf848b6,872b97dfc9294b4e,1,0,0,0,1,single,False,
2wikimultihop,fc9cd5480bdc11eba7f7acde48001122,dd67caba02366d3d,1,0,0,0,1,single,False,
2wikimultihop,ab3555d80bda11eba7f7acde48001122,567241eb668b78a8,1,0,0,0,1,single,False,
2wikimultihop,40d9815a0bda11eba7f7acde48001122,83a6602afc107746,1,0,0,0,1,single,False,
2wikimultihop,228c3b14085d11ebbd5cac1f6bf848b6,e32959d4edf7820f,1,0,0,0,1,single,False,
2wikimultihop,1e22f8b408e511ebbda4ac1f6bf848b6,72464ceea87e7b77,1,0,0,0,1,single,False,
2wikimultihop,13de229a096a11ebbdafac1f6bf848b6,abda65d1771dd026,1,0,0,0,1,single,False,
2wikimultihop,7d70b69d095011ebbdaeac1f6bf848b6,2beda4160029c521,1,0,0,0,1,single,False,
2wikimultihop,881a1c3a0baf11ebab90acde48001122,e65787d5da79dda0,1,0,0,0,1,single,False,
2wikimultihop,30daabfc08ac11ebbd82ac1f6bf848b6,bea59f166ae47df3,1,0,0,0,1,single,False,
2wikimultihop,1946b3ae08f311ebbdaaac1f6bf848b6,a5d747f3ee8738a6,1,0,0,0,1,single,False,
2wikimultihop,3dfdafc5098111ebbdb0ac1f6bf848b6,0fe0e2c1b5af2d5d,1,0,0,0,1,single,False,
2wikimultihop,acebfb300bd911eba7f7acde48001122,dd88a3363c2d1f22,1,0,0,0,1,single,False,
2wikimultihop,4f9d50a9086611ebbd5eac1f6bf848b6,a35cac9bd8ff6515,1,0,0,0,1,single,False,
2wikimultihop,4e86e9200bdd11eba7f7acde48001122,a0e1a928318930e1,1,0,0,0,1,single,False,
2wikimultihop,ed5705400bdc11eba7f7acde48001122,a7852867eb61dd17,1,0,0,0,1,single,False,
2wikimultihop,4790578608de11ebbd9eac1f6bf848b6,217a3736db95b922,1,0,0,0,1,single,False,
2wikimultihop,e3e6faf6095611ebbdaeac1f6bf848b6,357a1dab8214355d,1,0,0,0,1,single,False,
2wikimultihop,f61b684c0bdc11eba7f7acde48001122,389bed076ff28fbd,4,4,0,3,4,complex,True,
2wikimultihop,6dd1bbba098311ebbdb0ac1f6bf848b6,f288206bcb091766,1,0,0,0,1,single,False,
2wikimultihop,4b2ba5f7098511ebbdb0ac1f6bf848b6,27ae3e2fe7d4590d,1,0,0,0,1,single,False,
2wikimultihop,ab79a7f00bdb11ebhotpotqa,5a79de5b5542994f819ef0e2,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completions: ReadTimeout
hotpotqa,5ab49a9155429942dd415f77,12b9528604c1a1ac,1,0,0,0,1,single,False,
hotpotqa,5a7a8bd65542995eb53be863,3676c937f79fab81,1,0,0,0,1,single,False,
hotpotqa,5a862b8655429960ec39b637,c15ecff00061cfd6,1,0,0,0,1,single,False,
hotpotqa,5adc6ac65542994650320cdd,b0546a7c98c23d68,1,0,0,0,1,single,False,
hotpotqa,5a85c79a5542992a431d1ba0,f7871e1e7bc7d99c,1,0,0,0,1,single,False,
hotpotqa,5ae35a7e5542992e3233c3a7,b264b3404dbce03d,1,0,0,0,1,single,False,
hotpotqa,5a8ae97f55429950cd6afbd4,7a2f1a6086b88c5f,1,0,0,0,1,single,False,
hotpotqa,5adc536255429947ff173928,9ed6aa8deeecb292,1,0,0,0,1,single,False,
hotpotqa,5a8dd0105542994ba4e3dd2e,b4a5f3e190eeb2e6,1,0,0,0,1,single,False,
hotpotqa,5abf0ea95542997ec76fd3a8,165d1575736cb906,1,0,0,0,1,single,False,
hotpotqa,5abe67475542993f32c2a104,4d3725cb564a0433,2,1,0,1,2,chain,False,
hotpotqa,5ae3477f5542992e3233c363,f6fc40f3b26e3587,2,1,0,1,2,chain,False,
hotpotqa,5ae5fe42554299546bf83003,ee5404bdbd7e9b11,1,0,0,0,1,single,False,
hotpotqa,5ae7bdf35542994a481bbdcb,364503dfd0dd141c,1,0,0,0,1,single,False,
hotpotqa,5ab3edee5542992ade7c6ee7,8cf9ffbf6a89c46f,2,1,0,1,2,chain,False,
hotpotqa,5a88b1bd554299206df2b331,0d86d8477768f0a2,2,1,0,1,2,chain,False,
hotpotqa,5a8006e25542992e7d278de4,040c5df24b6b457a,1,0,0,0,1,single,False,
hotpotqa,5a7cc591554299452d57ba46,7557cfbf1cbbaa59,1,0,0,0,1,single,False,
hotpotqa,5ab285d0554299340b5254fa,91014105779061bf,1,0,0,0,1,single,False,
hotpotqa,5abfbf455542997ec76fd449,1ce5385a8a71da71,2,1,0,1,2,chain,False,
hotpotqa,5ae23b285542996483e64936,c4061da13095d778,1,0,0,0,1,single,False,
hotpotqa,5a79b7735542994bb9457039,892793d3de644fd9,1,0,0,0,1,single,False,
hotpotqa,5ab764115542993667793fca,7df85c0a9c3a334c,1,0,0,0,1,single,False,
hotpotqa,5a77884555429949eeb29ed5,27a22wikimultihop,cf175fe8088b11ebbd6fac1f6bf848b6,96c04f5a90dc8e3b,1,0,0,0,1,single,False,
2wikimultihop,5f157a6c087d11ebbd6aac1f6bf848b6,4d2c843ff72542fc,1,0,0,0,1,single,False,
2wikimultihop,ef2c8b6e086311ebbd5eac1f6bf848b6,1b23346653edb8f2,1,0,0,0,1,single,False,
2wikimultihop,2a74e1df08e711ebbda5ac1f6bf848b6,591026f5997c628e,1,0,0,0,1,single,False,
2wikimultihop,5aaa13a3096f11ebbdb0ac1f6bf848b6,7f823be67a6ab2da,1,0,0,0,1,single,False,
2wikimultihop,411b9c240bdb11eba7f7acde48001122,4af8313b1d71a004,1,0,0,0,1,single,False,
2wikimultihop,1a38235e08be11ebbd8aac1f6bf848b6,2f735edadf9dc1c3,1,0,0,0,1,single,False,
2wikimultihop,d5ebfed0088d11ebbd70ac1f6bf848b6,fc9985a8b48a87cc,1,0,0,0,1,single,False,
2wikimultihop,c3c8e96e0baf11ebab90acde48001122,b594e8e609035a17,1,0,0,0,1,single,False,
2wikimultihop,04f8a0cd088711ebbd6dac1f6bf848b6,dc8fdcd32d2a4998,1,0,0,0,1,single,False,
2wikimultihop,235f835e0bda11eba7f7acde48001122,89a3a078c4b2e708,1,0,0,0,1,single,False,
2wikimultihop,8b4ccd1a08f011ebbda8ac1f6bf848b6,7921f335714f3cb0,1,0,0,0,1,single,False,
2wikimultihop,aec69d0e084e11ebbdhotpotqa,5ab5a2a25542997d4ad1f196,4d4499ecc3592bed,1,0,0,2wikimultihop,fa05ahotpotqa,5adc79185542994650320d19,3a1048a12290921b,1,0,0,0,1,single,False,
hotpotqa,5ac199275542994ab5c67d8a,0b2e85d610923033,1,0,0,0,1,single,False,
hotpotqa,5ae45e885542991a06ce9a4b,70438d57264282fb,1,0,0,0,1,single,False,
hotpotqa,5a8301485542wikimultihop,21fdf98a0baf11ebab90acde48001122,9cd04652a7ad8753,1,0,0,0,1,single,False,
2wikimultihop,07ef778508d611ebbd98ac1f6bf84hotpotqa,5a72a3cc5542992359bc314a,dc3deea9e38e2wikimultihop,82f82f5a0bda11ebhotpotqa,5a907eb05542990a98493663,5cc6ac3c4a291972,2,1,0,1,2,chain,False,
hotpotqa,5a804cb95542992bc0c4a6dd,1f9a38e09397ee04,1,0,0,0,1,single,False2wihotpotqa,5a81abca5542990a1d231e60,d816ee7219f4d300,4,4,0,3,4,complex,True,
hotpotqa,5ae768c75542995703ce8c21,c4520615cf55a8b5,3,3,0,2,3,complex,True,
hotpotqa,5ab5a16e5542992aa134a374,7a73d0039b3fbf3a,1,0,0,0,1,single,False,
hotpotqa,5ac23fa155429951e9e684dd,39e2327d8ab2abdc,1,0,0,0,1,single,False,
hotpotqa,5ae70f86554299572ea546a6,8fa6bd0188ac5ec3,1,0,0,0,1,single,False,
hotpotqa,5ae659455542992ae0d162e5,5ca4a8b4f420d9a3,2,1,0,1,2,chain,False,
hotpotqa,5a846240554299123d8c222f,8c196fb3fce5aebb,2,1,0,1,2,chain,False,
hotpotqa,5a8b5c765542995d1e6f138a,5c975a158deb6422,1,0,0,0,1,single,False,
hotpotqa,5a7b7f455542997c3ec971ca,cfb174458a20296e,1,0,0,0,1,single,False,
hotpotqa,5a82147f55429926c1cdae34,0e0a58e33d8bbc57,1,0,0,0,1,single,False,
hotpotqa,5ab27455554299722f9b4d33,360557a8c8a1547d,1,0,0,0,1,single,False,
hotpotqa,5abca36c5542993a06baf93c,145a5900f2186f26,1,0,0,0,1,single,False,
hotpotqa,5a7dd8625542990b8f503ae8,7d180800fb700084,1,0,0,0,1,single,False,
hotpotqa,5a80527a5542996402f6a4c4,7514808f14f78500,2,1,0,1,2,chain,False,
hotpotqa,5ab3b6af55429969a97a818f,3f8ec25affda0b6e,2,1,0,1,2,chain,False,
hotpotqa,5a850bdb5542994c784ddae4,9fed4c7d6259c537,1,0,0,0,1,single,False,
hotpotqa,5a83282b55429954d2e2ec38,e111340635c39de2,1,0,0,0,1,single,False,
hotpotqa,5abee5e25542994516f45473,5e4b2dfd4d778a0a,1,0,0,0,1,single,False,
hotpotqa,5ab42d7f554299753aec5a4f,bcd8113b2c623936,4,4,0,3,4,complex,True,
hotpotqa,5abfcd0d5542993fe9a41e79,ea3c183868a67c38,4,4,0,3,4,complex,True,
hotpotqa,5a713b725542994082a3e6b7,77d61a1ca18a4453,1,0,0,0,1,single,False,
hotpotqa,5a7b932e554299294a54a9ff,da81623a8d6aa78b,1,0,0,0,1,single,False,
hotpotqa,5ac4b8a8554299076e296de2,e8a2304b60a734f0,3,2,0,2,3,chain,True,
hotpotqa,5a7bdfa55542990527d55428,fd2206574b8d006b,1,0,0,0,1,single,False,
hotpotqa,5a78c9e0554299029c4b5e94,4ac16bf51a41e3c2,1,0,0,0,1,single,False,
hotpotqa,5ae5ea0655429929b0807a0f,e978879a3540377b,2,1,0,1,2,chain,False,
hotpotqa,5a729bb65542992359bc3137,76a60b489b6a7810,1,0,0,0,1,single,False,
hotpotqa,5a887a28554299206df2b2af,eb5389c2e414d6c9,1,0,0,0,1,single,False,
hotpotqa,5a7b8a2c5542995eb53be959,fdf7688b1bf398d2,1,0,0,0,1,single,False,
hotpotqa,5ac27e0055429921a00aafbb,9e5a181d66259c87,1,0,0,0,1,single,False,
hotpotqa,5ac3de87554299194317387c,b8a33b6b7db8c154,2,1,0,1,2,chain,False,
hotpotqa,5a8bbe4d5542995e66a474f1,6fb4fbaac9a6a967,1,0,0,0,1,single,False,
hotpotqa,5a8e202b55429917b4a5bd38,84143e0c0e49c199,1,0,0,0,1,single,False,
hotpotqa,5a8f4bf85542997ba9cb3228,86fdd6595736f0d5,1,0,0,0,1,single,False,
