dataset,arm,question_id,n_slots,n_joins,n_operator_edges,structural_hops,structural_nodes,trace_depth,branching_factor,topology_full,topology_join,operator_connects_components,max_join_degree,max_full_degree,em,f1,retrieval_calls,llm_calls,documents_accessed,latency_ms,budget_exceeded,status
2wikimultihop,chain,021379a40bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,4,4,20523.679935026914,0,ok
2wikimultihop,chain,021adaf20bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,4,74,20,284693.99823319446,0,ok
2wikimultihop,chain,021e26560bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.5,4,32,20,135578.07473998424,0,ok
2wikimultihop,chain,021e5e460bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,5,5,20109.049579994753,0,ok
2wikimultihop,chain,0226ccac0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,4,47,20,181010.6334031839,0,ok
2wikimultihop,chain,022856960bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,14,15,51967.43701204471,0,ok
2wikimultihop,chain,023251d8091a11ebbdaeac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,43919.56404903345,0,ok
2wikimultihop,chain,023bf04c0bdd11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,4,5,24770.842515049502,0,ok
2wikimultihop,chain,024006c508c111ebbd8aac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,21,5,63237.412540874444,0,ok
2wikimultihop,chain,024076580bb011ebab90acde48001122,3,2,0,2,3,3,1.333,chain,chain,0,2,2,0.0,0.6,7,53,35,267001.11128723994,0,ok
2wikimultihop,chain,024761e80bb011ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,25,15,110903.21058102325,0,ok
2wikimultihop,chain,025318340bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,17,15,76232.08797683287,0,ok
2wikimultihop,chain,0254eea408b911ebbd88ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,7,5,32533.817547999322,0,ok
2wikimultihop,chain,025944680bdc11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,11,5,49766.78499314841,0,ok
2wikimultihop,chain,027278700bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,20,15,97224.66613900848,0,ok
2wikimultihop,chain,027970120bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.4,3,22,15,86926.81977797952,0,ok
2wikimultihop,chain,02912df60baf11ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,38997.36578102037,0,ok
2wikimultihop,chain,029d4a8608a411ebbd7cac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,8,5,31177.0509389909,0,ok
2wikimultihop,chain,02a0888a096811ebbdafac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,34121.95583599247,0,ok
2wikimultihop,chain,02a9ff56094411ebbdaeac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.5,1,5,4,26088.901847003028,0,ok
2wikimultihop,chain,02d68310087611ebbd67ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,6,5,23128.909428058192,0,ok
2wikimultihop,chain,030942fc086711ebbd5eac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,5,5,26881.09118401073,0,ok
2wikimultihop,chain,033b1aff087c11ebbd69ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.42857142857142855,1,8,5,45419.994156979956,0,ok
2wikimultihop,chain,0360770a0baf11ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,4,21,20,90462.86831704527,0,ok
2wikimultihop,chain,036a0e0808f011ebbda8ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,12,5,43207.316956045106,0,ok
2wikimultihop,chain,038d34e608d211ebbd95ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,4,5,24068.67086901609,0,ok
2wikimultihop,chain,038ea0fc0bb011ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,12,15,68161.55659387913,0,ok
2wikimultihop,chain,039006b80bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,6,5,21724.225481996313,0,ok
2wikimultihop,chain,03b122740bda11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,4,60,20,246099.96631520148,0,ok
2wikimultihop,chain,03c48efa090e11ebbdadac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6,1,8,5,36148.9610961033,0,ok
2wikimultihop,chain,03d68971096e11ebbdb0ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,35001.93801495619,0,ok
2wikimultihop,chain,03eeef5508b611ebbd88ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,37783.410763921216,0,ok
2wikimultihop,chain,03f08a740bb011ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,4,28,20,94028.8939190507,0,ok
2wikimultihop,chain,03f13a3e0bdb11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.5,3,37,15,133555.1032030806,0,ok
2wikimultihop,chain,03f16b880bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.5714285714285715,1,8,5,35068.45321488194,0,ok
2wikimultihop,chain,03f23e500bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.8,1,7,5,21065.44776498899,0,ok
2wikimultihop,chain,03fb1160086311ebbd5eac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,8,5,34471.89728200622,0,ok
2wikimultihop,chain,03fbfaa80bb011ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,4,22,20,91343.15279185027,0,ok
2wikimultihop,chain,03fc8da60bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.5714285714285715,1,7,5,24244.2897480987,0,ok
2wikimultihop,chain,041581680bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,27,15,101067.63122620806,0,ok
2wikimultihop,chain,041879d0093a11ebbdaeac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,2,4,8094.556778026745,0,ok
2wikimultihop,chain,042a249a0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,12,15,46245.944478049874,0,ok
2wikimultihop,chain,0434b8de08c211ebbd8bac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,18,5,67134.71415610425,0,ok
2wikimultihop,chain,04414a4e0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,33,15,146532.26100396086,0,ok
2wikimultihop,chain,045d87ae0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,12,15,71889.68788000569,0,ok
2wikimultihop,chain,046cfbc60bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,9,5,40069.919227993116,0,ok
2wikimultihop,chain,04734cac08e011ebbda1ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,9,5,38231.73253610358,0,ok
2wikimultihop,chain,0477690a0bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,17,15,95737.92784705386,0,ok
2wikimultihop,chain,0484ed780baf11ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.75,1,4,5,27660.903989013284,0,ok
2wikimultihop,chain,049058980bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,21,15,93498.8450261075,0,ok
2wikimultihop,chain,0495ae06089411ebbd75ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,24248.48503500782,0,ok
2wikimultihop,chain,04a065a60bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,9,4,41039.4039290268,0,ok
2wikimultihop,chain,04a544a40bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,5,4,30978.47919203434,0,ok
2wikimultihop,chain,04b2864e0bdb11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,22,15,105235.33426789194,0,ok
2wikimultihop,chain,04bacaac08d611ebbd98ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,13,5,50839.48226212803,0,ok
2wikimultihop,chain,04bacc520bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,6,5,28930.893134044483,0,ok
2wikimultihop,chain,04c606da0bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,19,5,71578.8161829738,0,ok
2wikimultihop,chain,04f33eff08fa11ebbdabac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.17391304347826084,1,6,5,39716.87888104096,0,ok
2wikimultihop,chain,04fc9d9908ab11ebbd81ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,12,5,59490.93794696033,0,ok
2wikimultihop,chain,04fd691408b811ebbd88ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,10,5,44580.98912401963,0,ok
2wikimultihop,chain,050fa39608df11ebbd9fac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,10,5,54643.36723193899,0,ok
2wikimultihop,chain,05108af20bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,2,5,14898.884985044599,0,ok
2wikimultihop,chain,051912f3086f11ebbd62ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,17,5,68644.94755207282,0,ok
2wikimultihop,chain,05282bae0bdd11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,11,15,59844.09793389775,0,ok
2wikimultihop,chain,056492e3088611ebbd6dac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,6,5,29873.615326127037,0,ok
2wikimultihop,chain,056d106c085311ebbd58ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,3,5,17371.67690197192,0,ok
2wikimultihop,chain,058f0bd308ac11ebbd82ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.5,1,9,5,42099.39096082654,0,ok
2wikimultihop,chain,05a2dec4088811ebbd6eac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,17,5,76775.5987260025,0,ok
2wikimultihop,chain,05b5c1e00baf11ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.2222222222222222,1,13,5,57768.70291903708,0,ok
2wikimultihop,chain,05b761f108e211ebbda3ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,4,5,11636.277099024504,0,ok
2wikimultihop,chain,05be9a0c0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,4,37,20,165711.72166603245,0,ok
2wikimultihop,chain,05ca361608a511ebbd7dac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.25,1,13,5,57817.04573296569,0,ok
2wikimultihop,chain,05e2b4d60bda11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,6,15,32205.62031796761,0,ok
2wikimultihop,chain,05e86fb20bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,4,20,20,85606.32039698958,0,ok
2wikimultihop,chain,05f0e6680bdb11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,32,15,150234.57173703983,0,ok
2wikimultihop,chain,05f6b3ca084f11ebbd56ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,2,5,11826.80321507901,0,ok
2wikimultihop,chain,060505ae089211ebbd73ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,8,5,37145.302491022274,0,ok
2wikimultihop,chain,061998c008ce11ebbd94ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,6,5,27281.2514179945,0,ok
2wikimultihop,chain,061db5dc0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,41,15,229726.38877009507,0,ok
2wikimultihop,chain,062884f40bb011ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,13,15,69154.59007297456,0,ok
2wikimultihop,chain,062c28b60bdd11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,21,15,97306.46672299597,0,ok
2wikimultihop,chain,0630f04a08b211ebbd85ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,19,5,72969.68291388638,0,ok
2wikimultihop,chain,06326df2088611ebbd6dac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,5,5,19544.40676603932,0,ok
2wikimultihop,chain,063270da08af11ebbd83ac1f6bf848b6,4,2,1,3,4,0,1.5,chain,join_disconnected,1,1,2,0.0,0.0,0,0,0,0.0,0,failed
2wikimultihop,chain,063d752c0bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,4,22,18,124295.29747005925,0,ok
2wikimultihop,chain,064aa8e1084a11ebbd55ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,27,5,99829.96140993759,0,ok
2wikimultihop,chain,06508ac008aa11ebbd80ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,17,5,70576.02684302069,0,ok
2wikimultihop,chain,067c580e09ad11ebbdb0ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,10,5,30559.402796883136,0,ok
2wikimultihop,chain,067fab3b094411ebbdaeac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,17,5,75114.87238799222,0,ok
2wikimultihop,chain,06c74c8c0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,26,15,128389.41902094427,0,ok
2wikimultihop,chain,06cdb6180bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,4,5,29668.696381969377,0,ok
2wikimultihop,chain,06d0699e0bb011ebab90acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.5714285714285715,4,73,20,279525.9800560409,0,ok
2wikimultihop,chain,06d16e840bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,37641.1748949606,0,ok
2wikimultihop,chain,06d42da208bf11ebbd8aac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,14,5,67061.78037508205,0,ok
2wikimultihop,chain,06dda24508ef11ebbda8ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,6,5,26623.943514974788,0,ok
2wikimultihop,chain,070e4d940bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,8,5,27285.817705158144,0,ok
2wikimultihop,chain,070e7e88087b11ebbd67ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.2727272727272727,1,5,5,22742.01567598805,0,ok
2wikimultihop,chain,071e95ae08f111ebbda8ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,10,4,43570.096809020266,0,ok
2wikimultihop,chain,0729da3c0bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,3,5,14104.495581006631,0,ok
2wikimultihop,chain,0745c7f20bdd11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,4,33,20,124434.50721515715,0,ok
2wikimultihop,chain,07626317086e11ebbd62ac1f6bf848b6,4,2,1,3,4,0,1.5,chain,join_disconnected,1,1,2,0.0,0.0,0,0,0,0.0,0,failed
2wikimultihop,chain,0782c6bc089911ebbd77ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,11,5,52762.620958890766,0,ok
2wikimultihop,chain,0788eaa40bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,3,4,24672.51957304217,0,ok
2wikimultihop,chain,078bb0d80baf11ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.3636363636363636,1,6,5,30485.801649056375,0,ok
2wikimultihop,chain,078c06a00baf11ebab90acde48001122,3,2,0,2,3,3,1.333,chain,chain,0,2,2,0.0,0.5,5,32,25,134969.97490209993,0,ok
2wikimultihop,chain,07932ed80bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,7,15,30859.50791198574,0,ok
2wikimultihop,chain,079cbffc0bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,7,5,42381.681295984425,0,ok
2wikimultihop,chain,07aae62e0baf11ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,4,5,18772.689556036144,0,ok
2wikimultihop,chain,07c259740bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,18,13,98276.11810784973,0,ok
2wikimultihop,chain,07cf32b508fe11ebbdadac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,11,5,51476.28743117582,0,ok
